,BIZCON,RDNMADR
0,여관업,한남동
1,여관업,한남동
2,여관업,용산동
3,여관업,원효로3가
4,여관업,청파동
5,여관업,원효로2가
6,여관업,한강로2가
7,여관업,한강로3가
8,여관업,한강로3가
9,여인숙업,동자동
10,여인숙업,동자동
11,여인숙업,용산동
12,여관업,이촌동
13,여관업,남영동
14,여관업,후암동
15,여관업,청파동
16,여관업,서계동
17,여관업,한강로3가
18,여관업,한강로3가
19,여관업,한강로3가
20,여인숙업,동자동
21,여관업,동자동
22,여관업,남영동
23,여관업,갈월동
24,관광호텔,이태원동
25,여관업,한강로2가
26,관광호텔,한남동
27,관광호텔,이태원동
28,여관업,이태원동
29,여인숙업,동자동
30,여관업,한남동
31,여관업,한강로2가
32,여관업,원효로2가
33,관광호텔,갈월동
34,여관업,청파동
35,관광호텔,한남동
36,여관업,한강로3가
37,여관업,동빙고동
38,여인숙업,동자동
39,여인숙업,한강로3가
40,여관업,이태원동
41,여관업,한강로3가
42,여관업,이태원동
43,여관업,남영동
44,여관업,동자동
45,여관업,후암동
46,여관업,한강로2가
47,여관업,보광동
48,여관업,남영동
49,여관업,한강로3가
50,여관업,서계동
51,여인숙업,동자동
52,여관업,원효로3가
53,관광호텔,이태원동
54,일반호텔,갈월동
55,여관업,갈월동
56,관광호텔,이태원동
57,관광호텔,동자동
58,여인숙업,동자동
59,관광호텔,이태원동
60,관광호텔,동자동
61,관광호텔,갈월동
62,여관업,금호동
63,여관업,성수동
64,여관업,하왕십리동
65,여관업,도선동
66,여관업,금호동
67,여인숙업,행당동
68,여관업,도선동
69,여관업,None
70,여관업,성수동
71,여관업,성수동
72,여관업,옥수동
73,여관업,금호동
74,여관업,도선동
75,여관업,송정동
76,여관업,성수동
77,여관업,성수동
78,여관업,성수동
79,여관업,성수동
80,여관업,성수동
81,여관업,금호동
82,여관업,용답동
83,여관업,송정동
84,여관업,행당동
85,여관업,금호동
86,여관업,행당동
87,여관업,금호동
88,여관업,성수동
89,여관업,금호동
90,여관업,성수동
91,여관업,성수동
92,여관업,성수동
93,여관업,송정동
94,여관업,마장동
95,여관업,금호동
96,관광호텔,용답동
97,여관업,송정동
98,여관업,용답동
99,여관업,도선동
100,여관업,도선동
101,여관업,도선동
102,여관업,도선동
103,여관업,도선동
104,일반호텔,도선동
105,여관업,도선동
106,여관업,도선동
107,여관업,도선동
108,여관업,도선동
109,여관업,도선동
110,여관업,도선동
111,여관업,도선동
112,여관업,도선동
113,여관업,도선동
114,일반호텔,성수동
115,여관업,마장동
116,여관업,성수동
117,여관업,성수동
118,여관업,용답동
119,여관업,성수동
120,여관업,용답동
121,숙박업 기타,태평로2가
122,관광호텔,을지로5가
123,관광호텔,소공동
124,일반호텔,을지로6가
125,관광호텔,북창동
126,여관업,을지로3가
127,여관업,남대문로5가
128,여관업,광희동
129,관광호텔,장교동
130,관광호텔,충무로2가
131,일반호텔,초동
132,일반호텔,충무로4가
133,일반호텔,충무로4가
134,관광호텔,을지로5가
135,일반호텔,명동
136,관광호텔,광희동
137,숙박업 기타,광희동
138,일반호텔,명동
139,관광호텔,남대문로4가
140,관광호텔,회현동
141,관광호텔,을지로6가
142,관광호텔,충무로3가
143,관광호텔,을지로5가
144,숙박업 기타,필동
145,관광호텔,명동
146,숙박업 기타,명동
147,숙박업 기타,광희동
148,숙박업 기타,충무로4가
149,일반호텔,신당동
150,관광호텔,다동
151,숙박업 기타,을지로3가
152,관광호텔,광희동
153,일반호텔,충무로2가
154,관광호텔,명동
155,관광호텔,남산동
156,관광호텔,초동
157,숙박업 기타,명동
158,숙박업 기타,명동
159,관광호텔,남산동
160,관광호텔,저동
161,여관업,북창동
162,숙박업 기타,충무로3가
163,관광호텔,남산동
164,관광호텔,남산동
165,숙박업 기타,남대문로5가
166,숙박업 기타,충무로2가
167,숙박업 기타,명동
168,일반호텔,충무로2가
169,여관업,북창동
170,여관업,중림동
171,관광호텔,장충동
172,여관업,신당동
173,관광호텔,남대문로5가
174,관광호텔,장충동
175,관광호텔,명동
176,여관업,광희동
177,여관업,황학동
178,여관업,충무로2가
179,관광호텔,회현동
180,여관업,흥인동
181,여관업,황학동
182,관광호텔,소공동
183,여관업,을지로3가
184,여관업,회현동
185,여관업,충무로5가
186,여인숙업,신당동
187,여관업,충무로4가
188,여관업,광희동
189,여인숙업,None
190,여관업,신당동
191,여관업,신당동
192,여관업,황학동
193,여관업,을지로6가
194,여관업,저동
195,여관업,신당동
196,여관업,남창동
197,여인숙업,신당동
198,여관업,을지로3가
199,여관업,장충동
200,여관업,장충동
201,여관업,광희동
202,여관업,무학동
203,여관업,을지로4가
204,여관업,광희동
205,여관업,광희동
206,여관업,남창동
207,여관업,남대문로5가
208,여인숙업,중림동
209,여관업,장충동
210,여관업,광희동
211,여관업,남대문로5가
212,여관업,회현동
213,여관업,장충동
214,여관업,태평로2가
215,여관업,신당동
216,여관업,황학동
217,여관업,None
218,일반호텔,회현동
219,여관업,필동
220,여관업,광희동
221,여관업,충무로2가
222,여관업,신당동
223,여관업,광희동
224,여관업,광희동
225,여관업,중림동
226,여관업,신당동
227,여관업,회현동
228,여관업,신당동
229,여관업,무학동
230,여관업,광희동
231,여관업,흥인동
232,관광호텔,장충동
233,일반호텔,쌍림동
234,여관업,을지로6가
235,여관업,광희동
236,여관업,광희동
237,여관업,남대문로5가
238,여관업,광희동
239,여관업,초동
240,여관업,신당동
241,여관업,신당동
242,여관업,회현동
243,여인숙업,황학동
244,여관업,인현동
245,여인숙업,중림동
246,여관업,신당동
247,여관업,신당동
248,여인숙업,중림동
249,여인숙업,만리동
250,여관업,신당동
251,여관업,신당동
252,여관업,필동
253,여관업,장충동
254,여인숙업,None
255,여관업,산림동
256,여관업,남산동
257,여관업,신당동
258,여관업,None
259,여관업,중림동
260,여관업,입정동
261,여인숙업,황학동
262,여관업,장충동
263,여관업,신당동
264,여관업,중림동
265,여인숙업,만리동
266,여관업,신당동
267,여관업,신당동
268,여관업,신당동
269,여인숙업,None
270,여관업,을지로7가
271,여인숙업,황학동
272,여인숙업,신당동
273,여관업,남산동
274,여인숙업,None
275,여관업,황학동
276,여관업,황학동
277,여관업,장충동
278,여관업,회현동
279,여관업,None
280,여관업,회현동
281,여관업,주교동
282,여관업,장충동
283,여관업,무학동
284,여관업,태평로2가
285,여관업,수표동
286,여인숙업,제기동
287,여인숙업,휘경동
288,여관업,이문동
289,여관업,용두동
290,여관업,용두동
291,여관업,이문동
292,여관업,전농동
293,여인숙업,제기동
294,여인숙업,제기동
295,여인숙업,제기동
296,여인숙업,제기동
297,여관업,회기동
298,여관업,이문동
299,여관업,휘경동
300,여관업,용두동
301,여관업,제기동
302,여관업,전농동
303,여관업,전농동
304,여관업,제기동
305,여관업,전농동
306,여인숙업,제기동
307,여인숙업,제기동
308,여인숙업,제기동
309,여인숙업,전농동
310,여관업,휘경동
311,여관업,이문동
312,여관업,용두동
313,여관업,용두동
314,여관업,전농동
