,index,RDNMADR,count
0,249,화곡동,136
1,140,신림동,119
2,161,영등포동,106
3,155,역삼동,77
4,129,수유동,74
5,89,미아동,73
6,21,구로동,70
7,219,천호동,65
8,92,방이동,61
9,135,신길동,52
10,114,상봉동,46
11,217,창천동,46
12,119,서초동,41
13,199,장안동,40
14,41,노고산동,40
15,100,봉천동,39
16,28,길동,35
17,76,면목동,35
18,132,숭인동,35
19,216,창신동,35
20,3,가산동,34
21,52,대조동,33
22,30,낙원동,33
23,59,도선동,32
24,2,가리봉동,31
25,48,당산동,31
26,205,제기동,31
27,250,화양동,30
28,61,독산동,29
29,95,번동,28
30,137,신당동,28
31,109,삼성동,27
32,111,상계동,27
33,195,잠실동,27
34,203,전농동,26
35,124,성수동,26
36,0,None,26
37,18,광희동,26
38,44,논현동,25
39,133,시흥동,25
40,253,회현동,25
41,212,중곡동,24
42,74,망우동,24
43,171,용두동,24
44,164,오류동,23
45,67,동자동,21
46,227,충무로2가,21
47,186,응암동,20
48,153,양평동,20
49,251,황학동,19
50,24,구의동,19
51,221,청량리동,18
52,47,답십리동,17
53,91,방배동,16
54,65,동선동,16
55,256,휘경동,16
56,77,명동,16
57,194,자양동,16
58,104,불광동,16
59,50,대림동,16
60,239,하월곡동,15
61,42,노량진동,15
62,200,장위동,14
63,187,이문동,14
64,210,종암동,14
65,254,효제동,14
66,189,이태원동,13
67,27,금호동,13
68,105,사당동,13
69,142,신설동,13
70,54,대현동,13
71,103,북창동,13
72,14,관수동,12
73,58,도봉동,12
74,201,장충동,12
75,247,홍제동,12
76,144,신월동,11
77,113,상도동,11
78,120,석관동,11
79,31,남가좌동,11
80,154,여의도동,11
81,214,중화동,11
82,33,남대문로5가,11
83,173,우이동,11
84,34,남산동,11
85,94,방화동,10
86,29,길음동,10
87,148,쌍문동,10
88,241,한강로3가,10
89,15,관철동,10
90,141,신사동,10
91,145,신정동,10
92,38,남현동,10
93,25,군자동,10
94,190,익선동,10
95,160,염창동,9
96,213,중림동,9
97,170,용답동,9
98,184,을지로6가,9
99,13,공항동,9
100,118,서교동,9
101,243,합정동,9
102,53,대치동,9
103,35,남영동,9
104,62,돈의동,9
105,110,삼전동,8
106,127,수색동,8
107,204,정릉동,8
108,223,청파동,8
109,208,종로5가,8
110,215,창동,8
111,240,한강로2가,8
112,138,신대방동,8
113,226,충무로1가,7
114,4,갈월동,7
115,228,충무로3가,7
116,165,오장동,7
117,16,관훈동,7
118,151,암사동,7
119,6,개봉동,7
120,5,갈현동,7
121,242,한남동,7
122,181,을지로3가,7
123,12,공릉동,7
124,196,잠원동,7
125,245,홍은동,6
126,220,청담동,6
127,229,충무로4가,6
128,60,도화동,6
129,126,송정동,6
130,183,을지로5가,6
131,43,녹번동,6
132,90,반포동,6
133,85,묵동,6
134,66,동소문동,6
135,97,보문동,6
136,257,흑석동,5
137,10,고척동,5
138,71,마장동,5
139,191,인사동,5
140,252,회기동,5
141,176,원효로2가,5
142,11,공덕동,5
143,123,성산동,5
144,236,필동,5
145,121,석촌동,5
146,225,초동,5
147,230,충무로5가,5
148,82,목동,5
149,93,방학동,4
150,107,산림동,4
151,255,후암동,4
152,234,태평로2가,4
153,185,을지로7가,4
154,84,무학동,4
155,178,월계동,4
156,96,보광동,4
157,174,운니동,4
158,122,성내동,4
159,80,명륜4가,4
160,169,외발산동,4
161,211,주교동,4
162,86,문래동,4
163,101,북가좌동,4
164,17,광장동,4
165,159,염리동,4
166,244,행당동,3
167,246,홍익동,3
168,108,삼선동,3
169,36,남창동,3
170,73,만리동,3
171,192,인현동,3
172,238,하왕십리동,3
173,149,아현동,3
174,102,북아현동,3
175,46,다동,3
176,233,태평로1가,3
177,49,당주동,3
178,117,서계동,3
179,1,가락동,3
180,81,명일동,3
181,180,을지로2가,3
182,72,마천동,3
183,63,동교동,3
184,128,수송동,3
185,68,둔촌동,3
186,69,등촌동,3
187,125,소공동,3
188,172,용산동,3
189,8,거여동,3
190,51,대방동,3
191,156,역촌동,3
192,209,종로6가,3
193,70,마곡동,3
194,7,개포동,2
195,224,체부동,2
196,218,천연동,2
197,202,저동,2
198,248,홍지동,2
199,9,견지동,2
200,37,남학동,2
201,258,흥인동,2
202,163,예장동,2
203,88,미근동,2
204,130,수표동,2
205,131,순화동,2
206,139,신도림동,2
207,78,명륜2가,2
208,147,쌍림동,2
209,152,양재동,2
210,157,연지동,2
211,158,연희동,2
212,32,남대문로4가,2
213,150,안암동,2
214,168,와룡동,2
215,175,원남동,2
216,177,원효로3가,2
217,55,대흥동,2
218,45,능동,2
219,40,냉천동,2
220,182,을지로4가,2
221,193,입정동,2
222,57,도림동,1
223,87,문정동,1
224,23,구수동,1
225,106,사직동,1
226,99,봉익동,1
227,98,본동,1
228,26,권농동,1
229,79,명륜3가,1
230,39,내발산동,1
231,83,묘동,1
232,56,도곡동,1
233,75,망원동,1
234,64,동빙고동,1
235,237,필운동,1
236,112,상도1동,1
237,198,장사동,1
238,22,구산동,1
239,222,청진동,1
240,188,이촌동,1
241,206,종로2가,1
242,207,종로3가,1
243,179,을지로1가,1
244,167,옥천동,1
245,166,옥수동,1
246,162,예관동,1
247,146,신천동,1
248,143,신수동,1
249,235,평창동,1
250,136,신내동,1
251,134,신공덕동,1
252,19,교북동,1
253,197,장교동,1
254,231,충신동,1
255,232,충정로1가,1
256,116,상암동,1
257,115,상수동,1
258,20,구기동,1
